"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - март 2017 г.)"
"  Ненецкий АО","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",5
"  Ненецкий АО","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",2
"  Ненецкий АО","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",2
"  Ненецкий АО","3_11","Всего прекращено дел в связи с установлением личности",1
"  Ненецкий АО","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-33.33333333
"  Ненецкий АО","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-17.94871795
"Вологодская область","3_11","Всего разыскивалось лиц",1188
"Вологодская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",256
"Вологодская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",720
"Вологодская область","3_11","Установлено лиц из числа находившихся в розыске",607
"Вологодская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",105
"Вологодская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",293
"Вологодская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",34
"Вологодская область","3_11","Всего прекращено дел в связи с установлением личности",4
"Вологодская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-28.36538462
"Вологодская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",18.99441341
"Калининградская область","3_11","Всего разыскивалось лиц",454
"Калининградская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",182
"Калининградская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",268
"Калининградская область","3_11","Установлено лиц из числа находившихся в розыске",70
"Калининградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",58
"Калининградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",10
"Калининградская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",84
"Калининградская область","3_11","Всего прекращено дел в связи с установлением личности",0
"Калининградская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-39.10891089
"Калининградская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-20.74303406
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего разыскивалось лиц",4860
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",2613
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",2219
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Установлено лиц из числа находившихся в розыске",670
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",486
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",163
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",2167
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего прекращено дел в связи с установлением личности",205
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-26.74337517
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-27.86636295
"  Ленинградская область","3_11","Всего разыскивалось лиц",1616
"  Ленинградская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",589
"  Ленинградская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1021
"  Ленинградская область","3_11","Установлено лиц из числа находившихся в розыске",185
"  Ленинградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",132
"  Ленинградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",48
"  Ленинградская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",896
"  Ленинградская область","3_11","Всего прекращено дел в связи с установлением личности",70
"  Ленинградская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-28.57142857
"  Ленинградская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-19.88054608
"  г. Санкт-Петербург","3_11","Всего разыскивалось лиц",3244
"  г. Санкт-Петербург","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",2024
"  г. Санкт-Петербург","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1198
"  г. Санкт-Петербург","3_11","Установлено лиц из числа находившихся в розыске",485
"  г. Санкт-Петербург","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",354
"  г. Санкт-Петербург","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",115
"  г. Санкт-Петербург","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",1271
"  г. Санкт-Петербург","3_11","Всего прекращено дел в связи с установлением личности",135
"  г. Санкт-Петербург","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-26.23608018
"  г. Санкт-Петербург","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-34.26812585
"Мурманская область","3_11","Всего разыскивалось лиц",561
"Мурманская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",294
"Мурманская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",266
"Мурманская область","3_11","Установлено лиц из числа находившихся в розыске",66
"Мурманская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",58
"Мурманская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",7
"Мурманская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",32
"Мурманская область","3_11","Всего прекращено дел в связи с установлением личности",2
"Мурманская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-37.91208791
"Мурманская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",3.2
"Новгородская  область","3_11","Всего разыскивалось лиц",685
"Новгородская  область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",266
"Новгородская  область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",410
"Новгородская  область","3_11","Установлено лиц из числа находившихся в розыске",127
"Новгородская  область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",71
"Новгородская  область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",47
"Новгородская  область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",77
"Новгородская  область","3_11","Всего прекращено дел в связи с установлением личности",5
"Новгородская  область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-16.30901288
"Новгородская  область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-12.00980392
"Псковская область","3_11","Всего разыскивалось лиц",487
"Псковская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",188
"Псковская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",289
"Псковская область","3_11","Установлено лиц из числа находившихся в розыске",121
"Псковская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",61
"Псковская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",54
"Псковская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",56
"Псковская область","3_11","Всего прекращено дел в связи с установлением личности",12
"Псковская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-40.28436019
"Псковская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-16.05839416
"Северо-Кавказский фед.округ","3_11","Всего разыскивалось лиц",9448
"Северо-Кавказский фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",6131
"Северо-Кавказский фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",3316
"Северо-Кавказский фед.округ","3_11","Установлено лиц из числа находившихся в розыске",1063
"Северо-Кавказский фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",754
"Северо-Кавказский фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",309
"Северо-Кавказский фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",370
"Северо-Кавказский фед.округ","3_11","Всего прекращено дел в связи с установлением личности",15
"Северо-Кавказский фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",9.682080925
"Северо-Кавказский фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",17.88105553
"Ставропольский край","3_11","Всего разыскивалось лиц",2527
"Ставропольский край","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1730
"Ставропольский край","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",797
"Ставропольский край","3_11","Установлено лиц из числа находившихся в розыске",611
"Ставропольский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",372
"Ставропольский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",239
"Ставропольский край","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",176
"Ставропольский край","3_11","Всего прекращено дел в связи с установлением личности",8
"Ставропольский край","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-36.75777568
"Ставропольский край","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-10.16393443
"Республика Ингушетия","3_11","Всего разыскивалось лиц",303
"Республика Ингушетия","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",269
"Республика Ингушетия","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",34
"Республика Ингушетия","3_11","Установлено лиц из числа находившихся в розыске",26
"Республика Ингушетия","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",24
"Республика Ингушетия","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",2
"Республика Ингушетия","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",0
"Республика Ингушетия","3_11","Всего прекращено дел в связи с установлением личности",0
"Республика Ингушетия","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-32.13296399
"Республика Ингушетия","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",10.34482759
"Республика Дагестан","3_11","Всего разыскивалось лиц",2310
"Республика Дагестан","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",2048
"Республика Дагестан","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",261
"Республика Дагестан","3_11","Установлено лиц из числа находившихся в розыске",191
"Республика Дагестан","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",182
"Республика Дагестан","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",9
"Республика Дагестан","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",35
"Республика Дагестан","3_11","Всего прекращено дел в связи с установлением личности",2
"Республика Дагестан","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",159.0140845
"Республика Дагестан","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",96.09375
"Кабардино-Балкарская Респ.","3_11","Всего разыскивалось лиц",443
"Кабардино-Балкарская Респ.","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",245
"Кабардино-Балкарская Респ.","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",198
"Кабардино-Балкарская Респ.","3_11","Установлено лиц из числа находившихся в розыске",81
"Кабардино-Балкарская Респ.","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",46
"Кабардино-Балкарская Респ.","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",35
"Кабардино-Балкарская Респ.","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",28
"Кабардино-Балкарская Респ.","3_11","Всего прекращено дел в связи с установлением личности",2
"Кабардино-Балкарская Респ.","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-9.216589862
"Кабардино-Балкарская Респ.","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-7.954545455
"Респ. Сев.Осетия - Алания","3_11","Всего разыскивалось лиц",515
"Респ. Сев.Осетия - Алания","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",273
"Респ. Сев.Осетия - Алания","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",242
"Респ. Сев.Осетия - Алания","3_11","Установлено лиц из числа находившихся в розыске",63
"Респ. Сев.Осетия - Алания","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",53
"Респ. Сев.Осетия - Алания","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",10
"Респ. Сев.Осетия - Алания","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",41
"Респ. Сев.Осетия - Алания","3_11","Всего прекращено дел в связи с установлением личности",1
"Респ. Сев.Осетия - Алания","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-43.16939891
"Респ. Сев.Осетия - Алания","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-6.12244898
"Карачаево-Черкесская Респ.","3_11","Всего разыскивалось лиц",353
"Карачаево-Черкесская Респ.","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",220
"Карачаево-Черкесская Респ.","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",133
"Карачаево-Черкесская Респ.","3_11","Установлено лиц из числа находившихся в розыске",50
"Карачаево-Черкесская Респ.","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",41
"Карачаево-Черкесская Респ.","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",9
"Карачаево-Черкесская Респ.","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",79
"Карачаево-Черкесская Респ.","3_11","Всего прекращено дел в связи с установлением личности",1
"Карачаево-Черкесская Респ.","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-29.6
"Карачаево-Черкесская Респ.","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",9.734513274
"Чеченская Республика","3_11","Всего разыскивалось лиц",2997
"Чеченская Республика","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1346
"Чеченская Республика","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1651
"Чеченская Республика","3_11","Установлено лиц из числа находившихся в розыске",41
"Чеченская Республика","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",36
"Чеченская Республика","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",5
"Чеченская Республика","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",11
"Чеченская Республика","3_11","Всего прекращено дел в связи с установлением личности",1
"Чеченская Республика","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",59.65770171
"Чеченская Республика","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",32.95638126
"Южный фед.округ (с Крымом)","3_11","Всего разыскивалось лиц",12666
"Южный фед.округ (с Крымом)","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",8608
"Южный фед.округ (с Крымом)","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",3992
"Южный фед.округ (с Крымом)","3_11","Установлено лиц из числа находившихся в розыске",3491
"Южный фед.округ (с Крымом)","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",3233
"Южный фед.округ (с Крымом)","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",252
"Южный фед.округ (с Крымом)","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",1195
"Южный фед.округ (с Крымом)","3_11","Всего прекращено дел в связи с установлением личности",77
"Южный фед.округ (с Крымом)","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-23.43151694
"Южный фед.округ (с Крымом)","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-11.46461876
"Краснодарский край","3_11","Всего разыскивалось лиц",3522
"Краснодарский край","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",2444
"Краснодарский край","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1072
"Краснодарский край","3_11","Установлено лиц из числа находившихся в розыске",671
"Краснодарский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",578
"Краснодарский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",93
"Краснодарский край","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",328
"Краснодарский край","3_11","Всего прекращено дел в связи с установлением личности",23
"Краснодарский край","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-6.787330317
"Краснодарский край","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-8.1671415
"Астраханская область","3_11","Всего разыскивалось лиц",965
"Астраханская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",588
"Астраханская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",374
"Астраханская область","3_11","Установлено лиц из числа находившихся в розыске",157
"Астраханская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",140
"Астраханская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",15
"Астраханская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",97
"Астраханская область","3_11","Всего прекращено дел в связи с установлением личности",3
"Астраханская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-50.93509351
"Астраханская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-38.86010363
"Волгоградская область","3_11","Всего разыскивалось лиц",1794
"Волгоградская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1001
"Волгоградская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",793
"Волгоградская область","3_11","Установлено лиц из числа находившихся в розыске",279
"Волгоградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",261
"Волгоградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",18
"Волгоградская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",238
"Волгоградская область","3_11","Всего прекращено дел в связи с установлением личности",12
"Волгоградская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-55.63680683
"Волгоградская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",8.498583569
"Ростовская область","3_11","Всего разыскивалось лиц",2496
"Ростовская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1680
"Ростовская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",813
"Ростовская область","3_11","Установлено лиц из числа находившихся в розыске",572
"Ростовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",479
"Ростовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",91
"Ростовская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",256
"Ростовская область","3_11","Всего прекращено дел в связи с установлением личности",23
"Ростовская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-37.68267223
"Ростовская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-34.40662374
"Республика Адыгея","3_11","Всего разыскивалось лиц",227
"Республика Адыгея","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",128
"Республика Адыгея","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",98
"Республика Адыгея","3_11","Установлено лиц из числа находившихся в розыске",36
"Республика Адыгея","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",32
"Республика Адыгея","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",4
"Республика Адыгея","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",54
"Республика Адыгея","3_11","Всего прекращено дел в связи с установлением личности",0
"Республика Адыгея","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-47.51381215
"Республика Адыгея","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-23.33333333
"Республика Калмыкия","3_11","Всего разыскивалось лиц",237
"Республика Калмыкия","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",120
"Республика Калмыкия","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",117
"Республика Калмыкия","3_11","Установлено лиц из числа находившихся в розыске",40
"Республика Калмыкия","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",33
"Республика Калмыкия","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",7
"Республика Калмыкия","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",60
"Республика Калмыкия","3_11","Всего прекращено дел в связи с установлением личности",6
"Республика Калмыкия","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-43.50649351
"Республика Калмыкия","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",8.910891089
"Республика Крым","3_11","Всего разыскивалось лиц",2832
"Республика Крым","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",2192
