"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - март 2018 г.)"
"  Ненецкий АО","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",10
"  Ненецкий АО","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",2
"  Ненецкий АО","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",2
"  Ненецкий АО","3_11","Всего прекращено дел в связи с установлением личности",1
"  Ненецкий АО","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-40
"  Ненецкий АО","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-23,07692308"
"Вологодская область","3_11","Всего разыскивалось лиц",1135
"Вологодская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",218
"Вологодская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",707
"Вологодская область","3_11","Установлено лиц из числа находившихся в розыске",578
"Вологодская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",84
"Вологодская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",284
"Вологодская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",31
"Вологодская область","3_11","Всего прекращено дел в связи с установлением личности",1
"Вологодская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-36,05769231"
"Вологодская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","17,31843575"
"Калининградская область","3_11","Всего разыскивалось лиц",434
"Калининградская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",177
"Калининградская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",251
"Калининградская область","3_11","Установлено лиц из числа находившихся в розыске",62
"Калининградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",50
"Калининградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",7
"Калининградская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",75
"Калининградская область","3_11","Всего прекращено дел в связи с установлением личности",0
"Калининградская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-39,10891089"
"Калининградская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-24,45820433"
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего разыскивалось лиц",4485
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",2535
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1897
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Установлено лиц из числа находившихся в розыске",659
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",488
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",125
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",1588
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего прекращено дел в связи с установлением личности",187
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-29,0446304"
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-33,82687927"
"  Ленинградская область","3_11","Всего разыскивалось лиц",1488
"  Ленинградская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",583
"  Ленинградская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",892
"  Ленинградская область","3_11","Установлено лиц из числа находившихся в розыске",171
"  Ленинградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",134
"  Ленинградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",26
"  Ленинградская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",580
"  Ленинградская область","3_11","Всего прекращено дел в связи с установлением личности",45
"  Ленинградская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-28,73194222"
"  Ленинградская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-27,47440273"
"  г. Санкт-Петербург","3_11","Всего разыскивалось лиц",2997
"  г. Санкт-Петербург","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1952
"  г. Санкт-Петербург","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1005
"  г. Санкт-Петербург","3_11","Установлено лиц из числа находившихся в розыске",488
"  г. Санкт-Петербург","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",354
"  г. Санкт-Петербург","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",99
"  г. Санкт-Петербург","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",1008
"  г. Санкт-Петербург","3_11","Всего прекращено дел в связи с установлением личности",142
"  г. Санкт-Петербург","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-29,13140312"
"  г. Санкт-Петербург","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-38,91928865"
"Мурманская область","3_11","Всего разыскивалось лиц",518
"Мурманская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",261
"Мурманская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",256
"Мурманская область","3_11","Установлено лиц из числа находившихся в розыске",73
"Мурманская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",66
"Мурманская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",6
"Мурманская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",27
"Мурманская область","3_11","Всего прекращено дел в связи с установлением личности",0
"Мурманская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-47,25274725"
"Мурманская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-0,4"
"Новгородская  область","3_11","Всего разыскивалось лиц",684
"Новгородская  область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",284
"Новгородская  область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",379
"Новгородская  область","3_11","Установлено лиц из числа находившихся в розыске",136
"Новгородская  область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",92
"Новгородская  область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",23
"Новгородская  область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",76
"Новгородская  область","3_11","Всего прекращено дел в связи с установлением личности",2
"Новгородская  область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-19,31330472"
"Новгородская  область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-13,48039216"
"Псковская область","3_11","Всего разыскивалось лиц",479
"Псковская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",218
"Псковская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",256
"Псковская область","3_11","Установлено лиц из числа находившихся в розыске",105
"Псковская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",84
"Псковская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",21
"Псковская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",42
"Псковская область","3_11","Всего прекращено дел в связи с установлением личности",4
"Псковская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-37,44075829"
"Псковская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-15,69343066"
"Северо-Кавказский фед.округ","3_11","Всего разыскивалось лиц",9467
"Северо-Кавказский фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",6149
"Северо-Кавказский фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",3316
"Северо-Кавказский фед.округ","3_11","Установлено лиц из числа находившихся в розыске",1005
"Северо-Кавказский фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",744
"Северо-Кавказский фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",260
"Северо-Кавказский фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",388
"Северо-Кавказский фед.округ","3_11","Всего прекращено дел в связи с установлением личности",7
"Северо-Кавказский фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","10,92072667"
"Северо-Кавказский фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","20,0472627"
"Ставропольский край","3_11","Всего разыскивалось лиц",2393
"Ставропольский край","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1638
"Ставропольский край","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",755
"Ставропольский край","3_11","Установлено лиц из числа находившихся в розыске",575
"Ставропольский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",362
"Ставропольский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",213
"Ставропольский край","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",152
"Ставропольский край","3_11","Всего прекращено дел в связи с установлением личности",4
"Ставропольский край","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-40,52780396"
"Ставропольский край","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-11,63934426"
"Республика Ингушетия","3_11","Всего разыскивалось лиц",274
"Республика Ингушетия","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",229
"Республика Ингушетия","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",44
"Республика Ингушетия","3_11","Установлено лиц из числа находившихся в розыске",19
"Республика Ингушетия","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",11
"Республика Ингушетия","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",7
"Республика Ингушетия","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",8
"Республика Ингушетия","3_11","Всего прекращено дел в связи с установлением личности",0
"Республика Ингушетия","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-39,61218837"
"Республика Ингушетия","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","27,5862069"
"Республика Дагестан","3_11","Всего разыскивалось лиц",2403
"Республика Дагестан","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",2108
"Республика Дагестан","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",294
"Республика Дагестан","3_11","Установлено лиц из числа находившихся в розыске",188
"Республика Дагестан","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",181
"Республика Дагестан","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",7
"Республика Дагестан","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",80
"Республика Дагестан","3_11","Всего прекращено дел в связи с установлением личности",3
"Республика Дагестан","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","170,7042254"
"Республика Дагестан","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","122,65625"
"Кабардино-Балкарская Респ.","3_11","Всего разыскивалось лиц",483
"Кабардино-Балкарская Респ.","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",292
"Кабардино-Балкарская Респ.","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",191
"Кабардино-Балкарская Респ.","3_11","Установлено лиц из числа находившихся в розыске",83
"Кабардино-Балкарская Респ.","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",59
"Кабардино-Балкарская Респ.","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",24
"Кабардино-Балкарская Респ.","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",19
"Кабардино-Балкарская Респ.","3_11","Всего прекращено дел в связи с установлением личности",0
"Кабардино-Балкарская Респ.","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","4,608294931"
"Кабардино-Балкарская Респ.","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-5,113636364"
"Респ. Сев.Осетия - Алания","3_11","Всего разыскивалось лиц",494
"Респ. Сев.Осетия - Алания","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",262
"Респ. Сев.Осетия - Алания","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",232
"Респ. Сев.Осетия - Алания","3_11","Установлено лиц из числа находившихся в розыске",63
"Респ. Сев.Осетия - Алания","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",59
"Респ. Сев.Осетия - Алания","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",4
"Респ. Сев.Осетия - Алания","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",39
"Респ. Сев.Осетия - Алания","3_11","Всего прекращено дел в связи с установлением личности",0
"Респ. Сев.Осетия - Алания","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-45,08196721"
"Респ. Сев.Осетия - Алания","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-8,163265306"
"Карачаево-Черкесская Респ.","3_11","Всего разыскивалось лиц",344
"Карачаево-Черкесская Респ.","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",204
"Карачаево-Черкесская Респ.","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",140
"Карачаево-Черкесская Респ.","3_11","Установлено лиц из числа находившихся в розыске",45
"Карачаево-Черкесская Респ.","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",40
"Карачаево-Черкесская Респ.","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",5
"Карачаево-Черкесская Респ.","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",80
"Карачаево-Черкесская Респ.","3_11","Всего прекращено дел в связи с установлением личности",0
"Карачаево-Черкесская Респ.","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-34,4"
"Карачаево-Черкесская Респ.","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","19,46902655"
"Чеченская Республика","3_11","Всего разыскивалось лиц",3076
"Чеченская Республика","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1416
"Чеченская Республика","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1660
"Чеченская Республика","3_11","Установлено лиц из числа находившихся в розыске",32
"Чеченская Республика","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",32
"Чеченская Республика","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",0
"Чеченская Республика","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",10
"Чеченская Республика","3_11","Всего прекращено дел в связи с установлением личности",0
"Чеченская Республика","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","68,58190709"
"Чеченская Республика","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","34,08723748"
"Южный фед.округ","3_11","Всего разыскивалось лиц",12331
"Южный фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",8668
"Южный фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",3578
"Южный фед.округ","3_11","Установлено лиц из числа находившихся в розыске",3760
"Южный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",3528
"Южный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",219
"Южный фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",1063
"Южный фед.округ","3_11","Всего прекращено дел в связи с установлением личности",54
"Южный фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-26,96612666"
"Южный фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-21,88699945"
"Краснодарский край","3_11","Всего разыскивалось лиц",3475
"Краснодарский край","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",2446
"Краснодарский край","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1023
"Краснодарский край","3_11","Установлено лиц из числа находившихся в розыске",656
"Краснодарский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",569
"Краснодарский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",87
"Краснодарский край","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",321
"Краснодарский край","3_11","Всего прекращено дел в связи с установлением личности",14
"Краснодарский край","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-5,882352941"
"Краснодарский край","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-12,72554606"
"Астраханская область","3_11","Всего разыскивалось лиц",887
"Астраханская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",563
"Астраханская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",324
"Астраханская область","3_11","Установлено лиц из числа находившихся в розыске",156
"Астраханская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",149
"Астраханская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",7
"Астраханская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",82
"Астраханская область","3_11","Всего прекращено дел в связи с установлением личности",7
"Астраханская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-54,45544554"
"Астраханская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-46,63212435"
"Волгоградская область","3_11","Всего разыскивалось лиц",1446
"Волгоградская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",852
"Волгоградская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",593
"Волгоградская область","3_11","Установлено лиц из числа находившихся в розыске",230
"Волгоградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",220
"Волгоградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",9
"Волгоградская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",213
"Волгоградская область","3_11","Всего прекращено дел в связи с установлением личности",10
"Волгоградская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-62,40097502"
"Волгоградская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-19,26345609"
"Ростовская область","3_11","Всего разыскивалось лиц",2339
"Ростовская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1583
"Ростовская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",754
"Ростовская область","3_11","Установлено лиц из числа находившихся в розыске",593
"Ростовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",497
"Ростовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",95
"Ростовская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",222
"Ростовская область","3_11","Всего прекращено дел в связи с установлением личности",8
"Ростовская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-43,42379958"
"Ростовская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-40,11039558"
"Республика Адыгея","3_11","Всего разыскивалось лиц",221
"Республика Адыгея","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",128
"Республика Адыгея","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",93
"Республика Адыгея","3_11","Установлено лиц из числа находившихся в розыске",45
"Республика Адыгея","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",41
"Республика Адыгея","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",4
"Республика Адыгея","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",47
"Республика Адыгея","3_11","Всего прекращено дел в связи с установлением личности",0
"Республика Адыгея","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-52,48618785"
"Республика Адыгея","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-26,66666667"
"Республика Калмыкия","3_11","Всего разыскивалось лиц",261
"Республика Калмыкия","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",150
"Республика Калмыкия","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",111
"Республика Калмыкия","3_11","Установлено лиц из числа находившихся в розыске",57
"Республика Калмыкия","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",54
"Республика Калмыкия","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",3
"Республика Калмыкия","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",48
"Республика Калмыкия","3_11","Всего прекращено дел в связи с установлением личности",5
"Республика Калмыкия","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-37,66233766"
"Республика Калмыкия","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","6,930693069"
"Республика Крым","3_11","Всего разыскивалось лиц",3496
"Республика Крым","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",2764
