"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - сентябрь 2016 г.)"
"  Ненецкий АО","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",26
"  Ненецкий АО","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",17
"  Ненецкий АО","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",3
"  Ненецкий АО","3_11","Всего прекращено дел в связи с установлением личности",0
"  Ненецкий АО","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",8.333333333
"  Ненецкий АО","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-16.66666667
"Вологодская область","3_11","Всего разыскивалось лиц",2725
"Вологодская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",613
"Вологодская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1561
"Вологодская область","3_11","Установлено лиц из числа находившихся в розыске",2083
"Вологодская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",422
"Вологодская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1113
"Вологодская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",37
"Вологодская область","3_11","Всего прекращено дел в связи с установлением личности",5
"Вологодская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-10.73170732
"Вологодская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",17.17451524
"Калининградская область","3_11","Всего разыскивалось лиц",598
"Калининградская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",304
"Калининградская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",285
"Калининградская область","3_11","Установлено лиц из числа находившихся в розыске",178
"Калининградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",151
"Калининградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",21
"Калининградская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",97
"Калининградская область","3_11","Всего прекращено дел в связи с установлением личности",13
"Калининградская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-30.8056872
"Калининградская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-20.63492063
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего разыскивалось лиц",7157
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",4147
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",2912
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Установлено лиц из числа находившихся в розыске",2233
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1628
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",517
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",3446
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего прекращено дел в связи с установлением личности",765
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-17.06806283
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-15.31322506
"  Ленинградская область","3_11","Всего разыскивалось лиц",2313
"  Ленинградская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",986
"  Ленинградская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1302
"  Ленинградская область","3_11","Установлено лиц из числа находившихся в розыске",658
"  Ленинградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",481
"  Ленинградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",154
"  Ленинградская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",1342
"  Ленинградская область","3_11","Всего прекращено дел в связи с установлением личности",245
"  Ленинградская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-21.57809984
"  Ленинградская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-10.88260497
"  г. Санкт-Петербург","3_11","Всего разыскивалось лиц",4844
"  г. Санкт-Петербург","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",3161
"  г. Санкт-Петербург","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1610
"  г. Санкт-Петербург","3_11","Установлено лиц из числа находившихся в розыске",1575
"  г. Санкт-Петербург","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1147
"  г. Санкт-Петербург","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",363
"  г. Санкт-Петербург","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",2104
"  г. Санкт-Петербург","3_11","Всего прекращено дел в связи с установлением личности",520
"  г. Санкт-Петербург","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-15.81996435
"  г. Санкт-Петербург","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-18.95701198
"Мурманская область","3_11","Всего разыскивалось лиц",879
"Мурманская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",568
"Мурманская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",297
"Мурманская область","3_11","Установлено лиц из числа находившихся в розыске",318
"Мурманская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",284
"Мурманская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",21
"Мурманская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",39
"Мурманская область","3_11","Всего прекращено дел в связи с установлением личности",5
"Мурманская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-27.1468144
"Мурманская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",4.858299595
"Новгородская  область","3_11","Всего разыскивалось лиц",1097
"Новгородская  область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",492
"Новгородская  область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",559
"Новгородская  область","3_11","Установлено лиц из числа находившихся в розыске",499
"Новгородская  область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",275
"Новгородская  область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",179
"Новгородская  область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",99
"Новгородская  область","3_11","Всего прекращено дел в связи с установлением личности",10
"Новгородская  область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-11.86440678
"Новгородская  область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-14.79713604
"Псковская область","3_11","Всего разыскивалось лиц",851
"Псковская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",368
"Псковская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",420
"Псковская область","3_11","Установлено лиц из числа находившихся в розыске",457
"Псковская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",221
"Псковская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",180
"Псковская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",117
"Псковская область","3_11","Всего прекращено дел в связи с установлением личности",23
"Псковская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-41.81034483
"Псковская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-17.75362319
"Северо-Кавказский фед.округ","3_11","Всего разыскивалось лиц",12496
"Северо-Кавказский фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",8172
"Северо-Кавказский фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",4316
"Северо-Кавказский фед.округ","3_11","Установлено лиц из числа находившихся в розыске",4103
"Северо-Кавказский фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",2771
"Северо-Кавказский фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1325
"Северо-Кавказский фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",508
"Северо-Кавказский фед.округ","3_11","Всего прекращено дел в связи с установлением личности",34
"Северо-Кавказский фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",8.76869494
"Северо-Кавказский фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",4.843918192
"Ставропольский край","3_11","Всего разыскивалось лиц",4437
"Ставропольский край","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",2740
"Ставропольский край","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1694
"Ставропольский край","3_11","Установлено лиц из числа находившихся в розыске",2372
"Ставропольский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1252
"Ставропольский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1117
"Ставропольский край","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",213
"Ставропольский край","3_11","Всего прекращено дел в связи с установлением личности",21
"Ставропольский край","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-33.17843866
"Ставропольский край","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-8.306188925
"Республика Ингушетия","3_11","Всего разыскивалось лиц",322
"Республика Ингушетия","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",279
"Республика Ингушетия","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",43
"Республика Ингушетия","3_11","Установлено лиц из числа находившихся в розыске",49
"Республика Ингушетия","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",41
"Республика Ингушетия","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",8
"Республика Ингушетия","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",11
"Республика Ингушетия","3_11","Всего прекращено дел в связи с установлением личности",2
"Республика Ингушетия","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-29.79351032
"Республика Ингушетия","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",17.24137931
"Республика Дагестан","3_11","Всего разыскивалось лиц",2775
"Республика Дагестан","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",2579
"Республика Дагестан","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",195
"Республика Дагестан","3_11","Установлено лиц из числа находившихся в розыске",776
"Республика Дагестан","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",753
"Республика Дагестан","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",23
"Республика Дагестан","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",52
"Республика Дагестан","3_11","Всего прекращено дел в связи с установлением личности",5
"Республика Дагестан","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",146.3013699
"Республика Дагестан","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",12.40875912
"Кабардино-Балкарская Респ.","3_11","Всего разыскивалось лиц",684
"Кабардино-Балкарская Респ.","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",397
"Кабардино-Балкарская Респ.","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",286
"Кабардино-Балкарская Респ.","3_11","Установлено лиц из числа находившихся в розыске",315
"Кабардино-Балкарская Респ.","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",195
"Кабардино-Балкарская Респ.","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",119
"Кабардино-Балкарская Респ.","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",85
"Кабардино-Балкарская Респ.","3_11","Всего прекращено дел в связи с установлением личности",3
"Кабардино-Балкарская Респ.","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-8.755760369
"Кабардино-Балкарская Респ.","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-7.82122905
"Респ. Сев.Осетия - Алания","3_11","Всего разыскивалось лиц",678
"Респ. Сев.Осетия - Алания","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",411
"Респ. Сев.Осетия - Алания","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",265
"Респ. Сев.Осетия - Алания","3_11","Установлено лиц из числа находившихся в розыске",205
"Респ. Сев.Осетия - Алания","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",178
"Респ. Сев.Осетия - Алания","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",25
"Респ. Сев.Осетия - Алания","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",45
"Респ. Сев.Осетия - Алания","3_11","Всего прекращено дел в связи с установлением личности",0
"Респ. Сев.Осетия - Алания","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-33.23699422
"Респ. Сев.Осетия - Алания","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-5.833333333
"Карачаево-Черкесская Респ.","3_11","Всего разыскивалось лиц",494
"Карачаево-Черкесская Респ.","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",343
"Карачаево-Черкесская Респ.","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",151
"Карачаево-Черкесская Респ.","3_11","Установлено лиц из числа находившихся в розыске",181
"Карачаево-Черкесская Респ.","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",161
"Карачаево-Черкесская Респ.","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",20
"Карачаево-Черкесская Респ.","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",84
"Карачаево-Черкесская Респ.","3_11","Всего прекращено дел в связи с установлением личности",2
"Карачаево-Черкесская Респ.","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-31.83520599
"Карачаево-Черкесская Респ.","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",8.26446281
"Чеченская Республика","3_11","Всего разыскивалось лиц",3106
"Чеченская Республика","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1423
"Чеченская Республика","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1682
"Чеченская Республика","3_11","Установлено лиц из числа находившихся в розыске",205
"Чеченская Республика","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",191
"Чеченская Республика","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",13
"Чеченская Республика","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",18
"Чеченская Республика","3_11","Всего прекращено дел в связи с установлением личности",1
"Чеченская Республика","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",47.46987952
"Чеченская Республика","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",12.4062713
"Южный фед.округ (с Крымом)","3_11","Всего разыскивалось лиц",17746
"Южный фед.округ (с Крымом)","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",12642
"Южный фед.округ (с Крымом)","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",5035
"Южный фед.округ (с Крымом)","3_11","Установлено лиц из числа находившихся в розыске",8027
"Южный фед.округ (с Крымом)","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",6812
"Южный фед.округ (с Крымом)","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1188
"Южный фед.округ (с Крымом)","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",1608
"Южный фед.округ (с Крымом)","3_11","Всего прекращено дел в связи с установлением личности",269
"Южный фед.округ (с Крымом)","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-16.81124738
"Южный фед.округ (с Крымом)","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-8.986615679
"Краснодарский край","3_11","Всего разыскивалось лиц",5246
"Краснодарский край","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",3913
"Краснодарский край","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1324
"Краснодарский край","3_11","Установлено лиц из числа находившихся в розыске",2204
"Краснодарский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1910
"Краснодарский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",291
"Краснодарский край","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",399
"Краснодарский край","3_11","Всего прекращено дел в связи с установлением личности",42
"Краснодарский край","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-2.819738167
"Краснодарский край","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-7.348837209
"Астраханская область","3_11","Всего разыскивалось лиц",2106
"Астраханская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1355
"Астраханская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",745
"Астраханская область","3_11","Установлено лиц из числа находившихся в розыске",1140
"Астраханская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",824
"Астраханская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",310
"Астраханская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",165
"Астраханская область","3_11","Всего прекращено дел в связи с установлением личности",40
"Астраханская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-43.28193833
"Астраханская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-35.67839196
"Волгоградская область","3_11","Всего разыскивалось лиц",2649
"Волгоградская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1709
"Волгоградская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",937
"Волгоградская область","3_11","Установлено лиц из числа находившихся в розыске",967
"Волгоградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",851
"Волгоградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",113
"Волгоградская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",335
"Волгоградская область","3_11","Всего прекращено дел в связи с установлением личности",54
"Волгоградская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-47.71863118
"Волгоградская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",9.544159544
"Ростовская область","3_11","Всего разыскивалось лиц",4156
"Ростовская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",3011
"Ростовская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1140
"Ростовская область","3_11","Установлено лиц из числа находившихся в розыске",2027
"Ростовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1664
"Ростовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",361
"Ростовская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",355
"Ростовская область","3_11","Всего прекращено дел в связи с установлением личности",81
"Ростовская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-30.72033898
"Ростовская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-30.61032864
"Республика Адыгея","3_11","Всего разыскивалось лиц",329
"Республика Адыгея","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",222
"Республика Адыгея","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",107
"Республика Адыгея","3_11","Установлено лиц из числа находившихся в розыске",130
"Республика Адыгея","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",124
"Республика Адыгея","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",6
"Республика Адыгея","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",50
"Республика Адыгея","3_11","Всего прекращено дел в связи с установлением личности",0
"Республика Адыгея","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-50.57471264
"Республика Адыгея","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-14.65517241
"Республика Калмыкия","3_11","Всего разыскивалось лиц",315
"Республика Калмыкия","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",198
"Республика Калмыкия","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",117
"Республика Калмыкия","3_11","Установлено лиц из числа находившихся в розыске",108
"Республика Калмыкия","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",98
"Республика Калмыкия","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",10
"Республика Калмыкия","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",69
"Республика Калмыкия","3_11","Всего прекращено дел в связи с установлением личности",8
"Республика Калмыкия","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-36.18421053
"Республика Калмыкия","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",0.943396226
"Республика Крым","3_11","Всего разыскивалось лиц",2465
"Республика Крым","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1877
