"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - декабрь 2014 г.)"
"  Ненецкий АО","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",18
"  Ненецкий АО","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",5
"  Ненецкий АО","3_11","Всего прекращено дел в связи с установлением личности",2
"  Ненецкий АО","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-45.45454545
"  Ненецкий АО","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-10.25641026
"Вологодская область","3_11","Всего разыскивалось лиц",3871
"Вологодская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1089
"Вологодская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",2131
"Вологодская область","3_11","Установлено лиц из числа находившихся в розыске",3202
"Вологодская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",897
"Вологодская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1657
"Вологодская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",145
"Вологодская область","3_11","Всего прекращено дел в связи с установлением личности",20
"Вологодская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-13.42592593
"Вологодская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",24.51790634
"Калининградская область","3_11","Всего разыскивалось лиц",864
"Калининградская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",391
"Калининградская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",442
"Калининградская область","3_11","Установлено лиц из числа находившихся в розыске",407
"Калининградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",241
"Калининградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",137
"Калининградская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",131
"Калининградская область","3_11","Всего прекращено дел в связи с установлением личности",10
"Калининградская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-33.96226415
"Калининградская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-12.77955272
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего разыскивалось лиц",8368
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",4780
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",3468
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Установлено лиц из числа находившихся в розыске",3282
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",2271
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",899
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",11590
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего прекращено дел в связи с установлением личности",1190
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-15.7073509
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-6.587514362
"  Ленинградская область","3_11","Всего разыскивалось лиц",2733
"  Ленинградская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1215
"  Ленинградская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1499
"  Ленинградская область","3_11","Установлено лиц из числа находившихся в розыске",1039
"  Ленинградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",696
"  Ленинградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",324
"  Ленинградская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",2926
"  Ленинградская область","3_11","Всего прекращено дел в связи с установлением личности",342
"  Ленинградская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-23.52941176
"  Ленинградская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-4.448246364
"  г. Санкт-Петербург","3_11","Всего разыскивалось лиц",5635
"  г. Санкт-Петербург","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",3565
"  г. Санкт-Петербург","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1969
"  г. Санкт-Петербург","3_11","Установлено лиц из числа находившихся в розыске",2243
"  г. Санкт-Петербург","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1575
"  г. Санкт-Петербург","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",575
"  г. Санкт-Петербург","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",8664
"  г. Санкт-Петербург","3_11","Всего прекращено дел в связи с установлением личности",848
"  г. Санкт-Петербург","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-13.44950849
"  г. Санкт-Петербург","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-8.321775312
"Мурманская область","3_11","Всего разыскивалось лиц",1070
"Мурманская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",754
"Мурманская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",308
"Мурманская область","3_11","Установлено лиц из числа находившихся в розыске",493
"Мурманская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",458
"Мурманская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",27
"Мурманская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",67
"Мурманская область","3_11","Всего прекращено дел в связи с установлением личности",7
"Мурманская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-26.43979058
"Мурманская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",3.875968992
"Новгородская  область","3_11","Всего разыскивалось лиц",1354
"Новгородская  область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",690
"Новгородская  область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",656
"Новгородская  область","3_11","Установлено лиц из числа находившихся в розыске",729
"Новгородская  область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",479
"Новгородская  область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",242
"Новгородская  область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",330
"Новгородская  область","3_11","Всего прекращено дел в связи с установлением личности",14
"Новгородская  область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-15.22633745
"Новгородская  область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-7.619047619
"Псковская область","3_11","Всего разыскивалось лиц",1332
"Псковская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",424
"Псковская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",729
"Псковская область","3_11","Установлено лиц из числа находившихся в розыске",876
"Псковская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",290
"Псковская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",412
"Псковская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",386
"Псковская область","3_11","Всего прекращено дел в связи с установлением личности",78
"Псковская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-39.62264151
"Псковская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-1.075268817
"Северо-Кавказский фед. округ","3_11","Всего разыскивалось лиц",10982
"Северо-Кавказский фед. округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",7685
"Северо-Кавказский фед. округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",3281
"Северо-Кавказский фед. округ","3_11","Установлено лиц из числа находившихся в розыске",3631
"Северо-Кавказский фед. округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",3251
"Северо-Кавказский фед. округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",367
"Северо-Кавказский фед. округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",671
"Северо-Кавказский фед. округ","3_11","Всего прекращено дел в связи с установлением личности",56
"Северо-Кавказский фед. округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-15.79675761
"Северо-Кавказский фед. округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",1.740674956
"Ставропольский край","3_11","Всего разыскивалось лиц",3580
"Ставропольский край","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",2843
"Ставропольский край","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",737
"Ставропольский край","3_11","Установлено лиц из числа находившихся в розыске",1400
"Ставропольский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1293
"Ставропольский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",107
"Ставропольский край","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",312
"Ставропольский край","3_11","Всего прекращено дел в связи с установлением личности",34
"Ставропольский край","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-33.74286968
"Ставропольский край","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-2.419354839
"Республика Ингушетия","3_11","Всего разыскивалось лиц",349
"Республика Ингушетия","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",313
"Республика Ингушетия","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",36
"Республика Ингушетия","3_11","Установлено лиц из числа находившихся в розыске",63
"Республика Ингушетия","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",55
"Республика Ингушетия","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",8
"Республика Ингушетия","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",8
"Республика Ингушетия","3_11","Всего прекращено дел в связи с установлением личности",1
"Республика Ингушетия","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-20.37037037
"Республика Ингушетия","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",21.73913043
"Республика Дагестан","3_11","Всего разыскивалось лиц",2248
"Республика Дагестан","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",2025
"Республика Дагестан","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",218
"Республика Дагестан","3_11","Установлено лиц из числа находившихся в розыске",1049
"Республика Дагестан","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",975
"Республика Дагестан","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",72
"Республика Дагестан","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",78
"Республика Дагестан","3_11","Всего прекращено дел в связи с установлением личности",4
"Республика Дагестан","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",26.64907652
"Республика Дагестан","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-0.751879699
"Кабардино-Балкарская Респ.","3_11","Всего разыскивалось лиц",730
"Кабардино-Балкарская Респ.","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",477
"Кабардино-Балкарская Респ.","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",250
"Кабардино-Балкарская Респ.","3_11","Установлено лиц из числа находившихся в розыске",355
"Кабардино-Балкарская Респ.","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",274
"Кабардино-Балкарская Респ.","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",78
"Кабардино-Балкарская Респ.","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",99
"Кабардино-Балкарская Респ.","3_11","Всего прекращено дел в связи с установлением личности",12
"Кабардино-Балкарская Респ.","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-11.16071429
"Кабардино-Балкарская Респ.","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-6.593406593
"Респ. Сев.Осетия - Алания","3_11","Всего разыскивалось лиц",784
"Респ. Сев.Осетия - Алания","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",503
"Респ. Сев.Осетия - Алания","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",280
"Респ. Сев.Осетия - Алания","3_11","Установлено лиц из числа находившихся в розыске",289
"Респ. Сев.Осетия - Алания","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",245
"Респ. Сев.Осетия - Алания","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",43
"Респ. Сев.Осетия - Алания","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",65
"Респ. Сев.Осетия - Алания","3_11","Всего прекращено дел в связи с установлением личности",2
"Респ. Сев.Осетия - Алания","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-28.87537994
"Респ. Сев.Осетия - Алания","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-3.347280335
"Карачаево-Черкесская Респ.","3_11","Всего разыскивалось лиц",692
"Карачаево-Черкесская Респ.","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",515
"Карачаево-Черкесская Респ.","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",170
"Карачаево-Черкесская Респ.","3_11","Установлено лиц из числа находившихся в розыске",322
"Карачаево-Черкесская Респ.","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",269
"Карачаево-Черкесская Респ.","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",46
"Карачаево-Черкесская Респ.","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",91
"Карачаево-Черкесская Респ.","3_11","Всего прекращено дел в связи с установлением личности",3
"Карачаево-Черкесская Респ.","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-9.885931559
"Карачаево-Черкесская Респ.","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-1.612903226
"Чеченская Республика","3_11","Всего разыскивалось лиц",2599
"Чеченская Республика","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1009
"Чеченская Республика","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1590
"Чеченская Республика","3_11","Установлено лиц из числа находившихся в розыске",153
"Чеченская Республика","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",140
"Чеченская Республика","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",13
"Чеченская Республика","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",18
"Чеченская Республика","3_11","Всего прекращено дел в связи с установлением личности",0
"Чеченская Республика","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-2.27014756
"Чеченская Республика","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",5.488621151
"Южный фед. округ","3_11","Всего разыскивалось лиц",19904
"Южный фед. округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",14173
"Южный фед. округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",5658
"Южный фед. округ","3_11","Установлено лиц из числа находившихся в розыске",10814
"Южный фед. округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",8615
"Южный фед. округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",2137
"Южный фед. округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",2085
"Южный фед. округ","3_11","Всего прекращено дел в связи с установлением личности",394
"Южный фед. округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-22.54676259
"Южный фед. округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-11.43092105
"Краснодарский край","3_11","Всего разыскивалось лиц",6408
"Краснодарский край","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",4620
"Краснодарский край","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1772
"Краснодарский край","3_11","Установлено лиц из числа находившихся в розыске",3175
"Краснодарский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",2513
"Краснодарский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",656
"Краснодарский край","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",568
"Краснодарский край","3_11","Всего прекращено дел в связи с установлением личности",135
"Краснодарский край","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-13.41463415
"Краснодарский край","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-4.200913242
"Астраханская область","3_11","Всего разыскивалось лиц",3113
"Астраханская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1997
"Астраханская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1074
"Астраханская область","3_11","Установлено лиц из числа находившихся в розыске",1864
"Астраханская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1302
"Астраханская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",520
"Астраханская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",240
"Астраханская область","3_11","Всего прекращено дел в связи с установлением личности",78
"Астраханская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-26.40449438
"Астраханская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-11.31756757
"Волгоградская область","3_11","Всего разыскивалось лиц",4327
"Волгоградская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",3363
"Волгоградская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",959
"Волгоградская область","3_11","Установлено лиц из числа находившихся в розыске",2511
"Волгоградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",2201
"Волгоградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",305
"Волгоградская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",539
"Волгоградская область","3_11","Всего прекращено дел в связи с установлением личности",88
"Волгоградская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-32.56519102
"Волгоградская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-19.63276836
"Ростовская область","3_11","Всего разыскивалось лиц",5192
"Ростовская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",3587
"Ростовская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1595
"Ростовская область","3_11","Установлено лиц из числа находившихся в розыске",2860
"Ростовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",2236
"Ростовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",615
"Ростовская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",572
"Ростовская область","3_11","Всего прекращено дел в связи с установлением личности",68
"Ростовская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-22.26107226
"Ростовская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-15.4589372
"Республика Адыгея","3_11","Всего разыскивалось лиц",457
"Республика Адыгея","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",324
"Республика Адыгея","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",133
"Республика Адыгея","3_11","Установлено лиц из числа находившихся в розыске",233
"Республика Адыгея","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",207
"Республика Адыгея","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",26
"Республика Адыгея","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",67
"Республика Адыгея","3_11","Всего прекращено дел в связи с установлением личности",13
"Республика Адыгея","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-40.93567251
"Республика Адыгея","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-8.035714286
"Республика Калмыкия","3_11","Всего разыскивалось лиц",407
"Республика Калмыкия","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",282
"Республика Калмыкия","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",125
"Республика Калмыкия","3_11","Установлено лиц из числа находившихся в розыске",171
"Республика Калмыкия","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",156
"Республика Калмыкия","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",15
"Республика Калмыкия","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",99
"Республика Калмыкия","3_11","Всего прекращено дел в связи с установлением личности",12
"Республика Калмыкия","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-16.43835616
"Республика Калмыкия","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",3.773584906
"Приволжский фед.округ","3_11","Всего разыскивалось лиц",41864
"Приволжский фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",21281
"Приволжский фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",18063
"Приволжский фед.округ","3_11","Установлено лиц из числа находившихся в розыске",26823
