"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - июнь 2015 г.)"
"  Ненецкий АО","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",3
"  Ненецкий АО","3_11","Всего прекращено дел в связи с установлением личности",0
"  Ненецкий АО","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-41.66666667
"  Ненецкий АО","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-12.82051282
"Вологодская область","3_11","Всего разыскивалось лиц",2217
"Вологодская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",609
"Вологодская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1149
"Вологодская область","3_11","Установлено лиц из числа находившихся в розыске",1590
"Вологодская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",434
"Вологодская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",704
"Вологодская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",51
"Вологодская область","3_11","Всего прекращено дел в связи с установлением личности",11
"Вологодская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-14.77832512
"Вологодская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",25.56818182
"Калининградская область","3_11","Всего разыскивалось лиц",543
"Калининградская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",242
"Калининградская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",296
"Калининградская область","3_11","Установлено лиц из числа находившихся в розыске",134
"Калининградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",109
"Калининградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",21
"Калининградская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",100
"Калининградская область","3_11","Всего прекращено дел в связи с установлением личности",3
"Калининградская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-36.8159204
"Калининградская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-16.66666667
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего разыскивалось лиц",6498
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",3559
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",2849
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Установлено лиц из числа находившихся в розыске",1696
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1198
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",415
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",3373
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего прекращено дел в связи с установлением личности",512
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-18.83549632
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-10.5973025
"  Ленинградская область","3_11","Всего разыскивалось лиц",2065
"  Ленинградская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",823
"  Ленинградская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1227
"  Ленинградская область","3_11","Установлено лиц из числа находившихся в розыске",479
"  Ленинградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",349
"  Ленинградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",116
"  Ленинградская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",1278
"  Ленинградская область","3_11","Всего прекращено дел в связи с установлением личности",170
"  Ленинградская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-24.71910112
"  Ленинградская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-5.699481865
"  г. Санкт-Петербург","3_11","Всего разыскивалось лиц",4433
"  г. Санкт-Петербург","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",2736
"  г. Санкт-Петербург","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1622
"  г. Санкт-Петербург","3_11","Установлено лиц из числа находившихся в розыске",1217
"  г. Санкт-Петербург","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",849
"  г. Санкт-Петербург","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",299
"  г. Санкт-Петербург","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",2095
"  г. Санкт-Петербург","3_11","Всего прекращено дел в связи с установлением личности",342
"  г. Санкт-Петербург","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-17.19030521
"  г. Санкт-Петербург","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-14.54418928
"Мурманская область","3_11","Всего разыскивалось лиц",721
"Мурманская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",436
"Мурманская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",285
"Мурманская область","3_11","Установлено лиц из числа находившихся в розыске",182
"Мурманская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",169
"Мурманская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",13
"Мурманская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",55
"Мурманская область","3_11","Всего прекращено дел в связи с установлением личности",5
"Мурманская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-27.80898876
"Мурманская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",5.976095618
"Новгородская  область","3_11","Всего разыскивалось лиц",946
"Новгородская  область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",401
"Новгородская  область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",536
"Новгородская  область","3_11","Установлено лиц из числа находившихся в розыске",360
"Новгородская  область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",200
"Новгородская  область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",151
"Новгородская  область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",106
"Новгородская  область","3_11","Всего прекращено дел в связи с установлением личности",14
"Новгородская  область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-19.4214876
"Новгородская  область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-8.915662651
"Псковская область","3_11","Всего разыскивалось лиц",830
"Псковская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",268
"Псковская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",481
"Псковская область","3_11","Установлено лиц из числа находившихся в розыске",412
"Псковская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",125
"Псковская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",210
"Псковская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",329
"Псковская область","3_11","Всего прекращено дел в связи с установлением личности",28
"Псковская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-35.37735849
"Псковская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-5.992509363
"Северо-Кавказский фед. округ","3_11","Всего разыскивалось лиц",9658
"Северо-Кавказский фед. округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",5933
"Северо-Кавказский фед. округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",3715
"Северо-Кавказский фед. округ","3_11","Установлено лиц из числа находившихся в розыске",2344
"Северо-Кавказский фед. округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1595
"Северо-Кавказский фед. округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",741
"Северо-Кавказский фед. округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",559
"Северо-Кавказский фед. округ","3_11","Всего прекращено дел в связи с установлением личности",32
"Северо-Кавказский фед. округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-11.58878505
"Северо-Кавказский фед. округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",8.634686347
"Ставропольский край","3_11","Всего разыскивалось лиц",3449
"Ставропольский край","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",2199
"Ставропольский край","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1242
"Ставропольский край","3_11","Установлено лиц из числа находившихся в розыске",1354
"Ставропольский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",721
"Ставропольский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",625
"Ставропольский край","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",245
"Ставропольский край","3_11","Всего прекращено дел в связи с установлением личности",23
"Ставропольский край","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-31.48235294
"Ставропольский край","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-0.986842105
"Республика Ингушетия","3_11","Всего разыскивалось лиц",313
"Республика Ингушетия","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",272
"Республика Ингушетия","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",41
"Республика Ингушетия","3_11","Установлено лиц из числа находившихся в розыске",32
"Республика Ингушетия","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",26
"Республика Ингушетия","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",6
"Республика Ингушетия","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",9
"Республика Ингушетия","3_11","Всего прекращено дел в связи с установлением личности",0
"Республика Ингушетия","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-28.48837209
"Республика Ингушетия","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",40
"Республика Дагестан","3_11","Всего разыскивалось лиц",1684
"Республика Дагестан","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1508
"Республика Дагестан","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",175
"Республика Дагестан","3_11","Установлено лиц из числа находившихся в розыске",473
"Республика Дагестан","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",437
"Республика Дагестан","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",36
"Республика Дагестан","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",63
"Республика Дагестан","3_11","Всего прекращено дел в связи с установлением личности",1
"Республика Дагестан","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",43.74140303
"Республика Дагестан","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",3.076923077
"Кабардино-Балкарская Респ.","3_11","Всего разыскивалось лиц",540
"Кабардино-Балкарская Респ.","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",324
"Кабардино-Балкарская Респ.","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",215
"Кабардино-Балкарская Респ.","3_11","Установлено лиц из числа находившихся в розыске",169
"Кабардино-Балкарская Респ.","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",129
"Кабардино-Балкарская Респ.","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",40
"Кабардино-Балкарская Респ.","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",82
"Кабардино-Балкарская Респ.","3_11","Всего прекращено дел в связи с установлением личности",2
"Кабардино-Балкарская Респ.","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-5.365853659
"Кабардино-Балкарская Респ.","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-3.351955307
"Респ. Сев.Осетия - Алания","3_11","Всего разыскивалось лиц",583
"Респ. Сев.Осетия - Алания","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",335
"Респ. Сев.Осетия - Алания","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",248
"Респ. Сев.Осетия - Алания","3_11","Установлено лиц из числа находившихся в розыске",121
"Респ. Сев.Осетия - Алания","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",108
"Респ. Сев.Осетия - Алания","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",13
"Респ. Сев.Осетия - Алания","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",52
"Респ. Сев.Осетия - Алания","3_11","Всего прекращено дел в связи с установлением личности",2
"Респ. Сев.Осетия - Алания","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-35.86005831
"Респ. Сев.Осетия - Алания","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-2.904564315
"Карачаево-Черкесская Респ.","3_11","Всего разыскивалось лиц",485
"Карачаево-Черкесская Респ.","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",336
"Карачаево-Черкесская Респ.","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",149
"Карачаево-Черкесская Респ.","3_11","Установлено лиц из числа находившихся в розыске",130
"Карачаево-Черкесская Респ.","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",114
"Карачаево-Черкесская Респ.","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",16
"Карачаево-Черкесская Респ.","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",91
"Карачаево-Черкесская Респ.","3_11","Всего прекращено дел в связи с установлением личности",4
"Карачаево-Черкесская Респ.","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-21.11553785
"Карачаево-Черкесская Респ.","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",14.7826087
"Чеченская Республика","3_11","Всего разыскивалось лиц",2604
"Чеченская Республика","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",959
"Чеченская Республика","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1645
"Чеченская Республика","3_11","Установлено лиц из числа находившихся в розыске",65
"Чеченская Республика","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",60
"Чеченская Республика","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",5
"Чеченская Республика","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",17
"Чеченская Республика","3_11","Всего прекращено дел в связи с установлением личности",0
"Чеченская Республика","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",9.512195122
"Чеченская Республика","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",15.7223796
"Южный фед. округ","3_11","Всего разыскивалось лиц",13749
"Южный фед. округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",9308
"Южный фед. округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",4419
"Южный фед. округ","3_11","Установлено лиц из числа находившихся в розыске",5138
"Южный фед. округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",4199
"Южный фед. округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",929
"Южный фед. округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",1511
"Южный фед. округ","3_11","Всего прекращено дел в связи с установлением личности",161
"Южный фед. округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-25.36868762
"Южный фед. округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-5.277777778
"Краснодарский край","3_11","Всего разыскивалось лиц",4522
"Краснодарский край","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",3220
"Краснодарский край","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1293
"Краснодарский край","3_11","Установлено лиц из числа находившихся в розыске",1538
"Краснодарский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1279
"Краснодарский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",259
"Краснодарский край","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",406
"Краснодарский край","3_11","Всего прекращено дел в связи с установлением личности",59
"Краснодарский край","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-2.651708312
"Краснодарский край","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-4.65337132
"Астраханская область","3_11","Всего разыскивалось лиц",2104
"Астраханская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1286
"Астраханская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",811
"Астраханская область","3_11","Установлено лиц из числа находившихся в розыске",973
"Астраханская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",675
"Астраханская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",291
"Астраханская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",155
"Астраханская область","3_11","Всего прекращено дел в связи с установлением личности",27
"Астраханская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-32.36607143
"Астраханская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-13.25301205
"Волгоградская область","3_11","Всего разыскивалось лиц",2918
"Волгоградская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1952
"Волгоградская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",963
"Волгоградская область","3_11","Установлено лиц из числа находившихся в розыске",1027
"Волгоградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",927
"Волгоградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",99
"Волгоградская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",359
"Волгоградская область","3_11","Всего прекращено дел в связи с установлением личности",35
"Волгоградская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-38.48069738
"Волгоградская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",23.62318841
"Ростовская область","3_11","Всего разыскивалось лиц",3589
"Ростовская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",2468
"Ростовская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1118
"Ростовская область","3_11","Установлено лиц из числа находившихся в розыске",1403
"Ростовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1147
"Ростовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",254
"Ростовская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",455
"Ростовская область","3_11","Всего прекращено дел в связи с установлением личности",27
"Ростовская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-31.30571578
"Ростовская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-20.26515152
"Республика Адыгея","3_11","Всего разыскивалось лиц",313
"Республика Адыгея","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",199
"Республика Адыгея","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",114
"Республика Адыгея","3_11","Установлено лиц из числа находившихся в розыске",111
"Республика Адыгея","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",96
"Республика Адыгея","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",15
"Республика Адыгея","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",48
"Республика Адыгея","3_11","Всего прекращено дел в связи с установлением личности",1
"Республика Адыгея","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-52.06185567
"Республика Адыгея","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-15.38461538
"Республика Калмыкия","3_11","Всего разыскивалось лиц",303
"Республика Калмыкия","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",183
"Республика Калмыкия","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",120
"Республика Калмыкия","3_11","Установлено лиц из числа находившихся в розыске",86
"Республика Калмыкия","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",75
"Республика Калмыкия","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",11
"Республика Калмыкия","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",88
"Республика Калмыкия","3_11","Всего прекращено дел в связи с установлением личности",12
"Республика Калмыкия","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-30.20134228
"Республика Калмыкия","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",4.854368932
"Приволжский фед.округ","3_11","Всего разыскивалось лиц",25855
"Приволжский фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",12473
"Приволжский фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",12361
"Приволжский фед.округ","3_11","Установлено лиц из числа находившихся в розыске",11943
"Приволжский фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",6526
