"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - сентябрь 2015 г.)"
"  Ненецкий АО","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",3
"  Ненецкий АО","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",3
"  Ненецкий АО","3_11","Всего прекращено дел в связи с установлением личности",0
"  Ненецкий АО","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",16.66666667
"  Ненецкий АО","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-5.128205128
"Вологодская область","3_11","Всего разыскивалось лиц",3154
"Вологодская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",825
"Вологодская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1637
"Вологодская область","3_11","Установлено лиц из числа находившихся в розыске",2492
"Вологодская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",636
"Вологодская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1173
"Вологодская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",57
"Вологодская область","3_11","Всего прекращено дел в связи с установлением личности",15
"Вологодская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-10.24390244
"Вологодская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",24.65373961
"Калининградская область","3_11","Всего разыскивалось лиц",596
"Калининградская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",282
"Калининградская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",306
"Калининградская область","3_11","Установлено лиц из числа находившихся в розыске",188
"Калининградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",154
"Калининградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",27
"Калининградская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",105
"Калининградская область","3_11","Всего прекращено дел в связи с установлением личности",4
"Калининградская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-42.65402844
"Калининградская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-14.92063492
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего разыскивалось лиц",7387
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",4158
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",3104
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Установлено лиц из числа находившихся в розыске",2530
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1772
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",641
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",3639
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего прекращено дел в связи с установлением личности",737
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-18.84816754
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-10.09280742
"  Ленинградская область","3_11","Всего разыскивалось лиц",2374
"  Ленинградская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1027
"  Ленинградская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1324
"  Ленинградская область","3_11","Установлено лиц из числа находившихся в розыске",739
"  Ленинградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",525
"  Ленинградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",193
"  Ленинградская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",1375
"  Ленинградская область","3_11","Всего прекращено дел в связи с установлением личности",245
"  Ленинградская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-20.61191626
"  Ленинградская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-5.912596401
"  г. Санкт-Петербург","3_11","Всего разыскивалось лиц",5013
"  г. Санкт-Петербург","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",3131
"  г. Санкт-Петербург","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1780
"  г. Санкт-Петербург","3_11","Установлено лиц из числа находившихся в розыске",1791
"  г. Санкт-Петербург","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1247
"  г. Санкт-Петербург","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",448
"  г. Санкт-Петербург","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",2264
"  г. Санкт-Петербург","3_11","Всего прекращено дел в связи с установлением личности",492
"  г. Санкт-Петербург","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-18.3600713
"  г. Санкт-Петербург","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-13.53065539
"Мурманская область","3_11","Всего разыскивалось лиц",794
"Мурманская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",499
"Мурманская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",294
"Мурманская область","3_11","Установлено лиц из числа находившихся в розыске",262
"Мурманская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",243
"Мурманская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",18
"Мурманская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",59
"Мурманская область","3_11","Всего прекращено дел в связи с установлением личности",10
"Мурманская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-32.13296399
"Мурманская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",9.311740891
"Новгородская  область","3_11","Всего разыскивалось лиц",1090
"Новгородская  область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",487
"Новгородская  область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",590
"Новгородская  область","3_11","Установлено лиц из числа находившихся в розыске",497
"Новгородская  область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",285
"Новгородская  область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",199
"Новгородская  область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",112
"Новгородская  область","3_11","Всего прекращено дел в связи с установлением личности",16
"Новгородская  область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-16.94915254
"Новгородская  область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-9.307875895
"Псковская область","3_11","Всего разыскивалось лиц",1039
"Псковская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",342
"Псковская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",591
"Псковская область","3_11","Установлено лиц из числа находившихся в розыске",616
"Псковская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",200
"Псковская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",317
"Псковская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",339
"Псковская область","3_11","Всего прекращено дел в связи с установлением личности",37
"Псковская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-43.10344828
"Псковская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-9.420289855
"Северо-Кавказский фед. округ","3_11","Всего разыскивалось лиц",11052
"Северо-Кавказский фед. округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",6872
"Северо-Кавказский фед. округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",4170
"Северо-Кавказский фед. округ","3_11","Установлено лиц из числа находившихся в розыске",3556
"Северо-Кавказский фед. округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",2360
"Северо-Кавказский фед. округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1188
"Северо-Кавказский фед. округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",589
"Северо-Кавказский фед. округ","3_11","Всего прекращено дел в связи с установлением личности",46
"Северо-Кавказский фед. округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-10.2642901
"Северо-Кавказский фед. округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",5.130965196
"Ставропольский край","3_11","Всего разыскивалось лиц",4193
"Ставропольский край","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",2568
"Ставропольский край","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1617
"Ставропольский край","3_11","Установлено лиц из числа находившихся в розыске",2063
"Ставропольский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1063
"Ставропольский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",992
"Ставропольский край","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",260
"Ставропольский край","3_11","Всего прекращено дел в связи с установлением личности",31
"Ставропольский край","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-32.38847584
"Ставропольский край","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-2.280130293
"Республика Ингушетия","3_11","Всего разыскивалось лиц",334
"Республика Ингушетия","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",285
"Республика Ингушетия","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",49
"Республика Ингушетия","3_11","Установлено лиц из числа находившихся в розыске",53
"Республика Ингушетия","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",37
"Республика Ингушетия","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",16
"Республика Ингушетия","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",11
"Республика Ингушетия","3_11","Всего прекращено дел в связи с установлением личности",0
"Республика Ингушетия","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-26.84365782
"Республика Ингушетия","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",13.79310345
"Республика Дагестан","3_11","Всего разыскивалось лиц",2053
"Республика Дагестан","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1856
"Республика Дагестан","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",196
"Республика Дагестан","3_11","Установлено лиц из числа находившихся в розыске",701
"Республика Дагестан","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",659
"Республика Дагестан","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",42
"Республика Дагестан","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",65
"Республика Дагестан","3_11","Всего прекращено дел в связи с установлением личности",1
"Республика Дагестан","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",59.04109589
"Республика Дагестан","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",5.839416058
"Кабардино-Балкарская Респ.","3_11","Всего разыскивалось лиц",651
"Кабардино-Балкарская Респ.","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",407
"Кабардино-Балкарская Респ.","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",243
"Кабардино-Балкарская Респ.","3_11","Установлено лиц из числа находившихся в розыске",273
"Кабардино-Балкарская Респ.","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",203
"Кабардино-Балкарская Респ.","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",70
"Кабардино-Балкарская Респ.","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",85
"Кабардино-Балкарская Респ.","3_11","Всего прекращено дел в связи с установлением личности",3
"Кабардино-Балкарская Респ.","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-6.912442396
"Кабардино-Балкарская Респ.","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-6.145251397
"Респ. Сев.Осетия - Алания","3_11","Всего разыскивалось лиц",652
"Респ. Сев.Осетия - Алания","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",395
"Респ. Сев.Осетия - Алания","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",257
"Респ. Сев.Осетия - Алания","3_11","Установлено лиц из числа находившихся в розыске",183
"Респ. Сев.Осетия - Алания","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",157
"Респ. Сев.Осетия - Алания","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",26
"Респ. Сев.Осетия - Алания","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",53
"Респ. Сев.Осетия - Алания","3_11","Всего прекращено дел в связи с установлением личности",3
"Респ. Сев.Осетия - Алания","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-34.39306358
"Респ. Сев.Осетия - Алания","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-4.166666667
"Карачаево-Черкесская Респ.","3_11","Всего разыскивалось лиц",527
"Карачаево-Черкесская Респ.","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",367
"Карачаево-Черкесская Респ.","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",160
"Карачаево-Черкесская Респ.","3_11","Установлено лиц из числа находившихся в розыске",184
"Карачаево-Черкесская Респ.","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",152
"Карачаево-Черкесская Респ.","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",32
"Карачаево-Черкесская Респ.","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",98
"Карачаево-Черкесская Респ.","3_11","Всего прекращено дел в связи с установлением личности",8
"Карачаево-Черкесская Респ.","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-31.46067416
"Карачаево-Черкесская Респ.","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",0.826446281
"Чеченская Республика","3_11","Всего разыскивалось лиц",2642
"Чеченская Республика","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",994
"Чеченская Республика","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1648
"Чеченская Республика","3_11","Установлено лиц из числа находившихся в розыске",99
"Чеченская Республика","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",89
"Чеченская Республика","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",10
"Чеченская Республика","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",17
"Чеченская Республика","3_11","Всего прекращено дел в связи с установлением личности",0
"Чеченская Республика","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",8.915662651
"Чеченская Республика","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",11.24744376
"Южный фед. округ","3_11","Всего разыскивалось лиц",16311
"Южный фед. округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",11388
"Южный фед. округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",4898
"Южный фед. округ","3_11","Установлено лиц из числа находившихся в розыске",7637
"Южный фед. округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",6254
"Южный фед. округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1369
"Южный фед. округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",1600
"Южный фед. округ","3_11","Всего прекращено дел в связи с установлением личности",240
"Южный фед. округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-25.36643733
"Южный фед. округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-7.866703087
"Краснодарский край","3_11","Всего разыскивалось лиц",5363
"Краснодарский край","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",3918
"Краснодарский край","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1436
"Краснодарский край","3_11","Установлено лиц из числа находившихся в розыске",2299
"Краснодарский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1908
"Краснодарский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",391
"Краснодарский край","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",442
"Краснодарский край","3_11","Всего прекращено дел в связи с установлением личности",89
"Краснодарский край","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-1.460221551
"Краснодарский край","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-7.534883721
"Астраханская область","3_11","Всего разыскивалось лиц",2551
"Астраханская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1599
"Астраханская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",945
"Астраханская область","3_11","Установлено лиц из числа находившихся в розыске",1420
"Астраханская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",986
"Астраханская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",427
"Астраханская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",174
"Астраханская область","3_11","Всего прекращено дел в связи с установлением личности",38
"Астраханская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-33.48017621
"Астраханская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-16.91792295
"Волгоградская область","3_11","Всего разыскивалось лиц",3432
"Волгоградская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",2394
"Волгоградская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1035
"Волгоградская область","3_11","Установлено лиц из числа находившихся в розыске",1537
"Волгоградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1390
"Волгоградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",145
"Волгоградская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",378
"Волгоградская область","3_11","Всего прекращено дел в связи с установлением личности",53
"Волгоградская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-39.41698352
"Волгоградская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",21.36752137
"Ростовская область","3_11","Всего разыскивалось лиц",4241
"Ростовская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",2994
"Ростовская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1241
"Ростовская область","3_11","Установлено лиц из числа находившихся в розыске",2088
"Ростовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1709
"Ростовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",374
"Ростовская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",464
"Ростовская область","3_11","Всего прекращено дел в связи с установлением личности",42
"Ростовская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-32.73305085
"Ростовская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-22.62910798
"Республика Адыгея","3_11","Всего разыскивалось лиц",388
"Республика Адыгея","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",269
"Республика Адыгея","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",119
"Республика Адыгея","3_11","Установлено лиц из числа находившихся в розыске",172
"Республика Адыгея","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",154
"Республика Адыгея","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",18
"Республика Адыгея","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",49
"Республика Адыгея","3_11","Всего прекращено дел в связи с установлением личности",1
"Республика Адыгея","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-42.52873563
"Республика Адыгея","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-13.79310345
"Республика Калмыкия","3_11","Всего разыскивалось лиц",336
"Республика Калмыкия","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",214
"Республика Калмыкия","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",122
"Республика Калмыкия","3_11","Установлено лиц из числа находившихся в розыске",121
"Республика Калмыкия","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",107
"Республика Калмыкия","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",14
"Республика Калмыкия","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",93
"Республика Калмыкия","3_11","Всего прекращено дел в связи с установлением личности",17
"Республика Калмыкия","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-32.23684211
"Республика Калмыкия","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",0.943396226
"Приволжский фед.округ","3_11","Всего разыскивалось лиц",32464
"Приволжский фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",15918
"Приволжский фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",15169
"Приволжский фед.округ","3_11","Установлено лиц из числа находившихся в розыске",18331
