"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - июнь 2017 г.)"
"  Ненецкий АО","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",10
"  Ненецкий АО","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",5
"  Ненецкий АО","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",2
"  Ненецкий АО","3_11","Всего прекращено дел в связи с установлением личности",1
"  Ненецкий АО","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-16.66666667
"  Ненецкий АО","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-19.23076923
"Вологодская область","3_11","Всего разыскивалось лиц",1777
"Вологодская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",346
"Вологодская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1057
"Вологодская область","3_11","Установлено лиц из числа находившихся в розыске",1199
"Вологодская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",192
"Вологодская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",633
"Вологодская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",34
"Вологодская область","3_11","Всего прекращено дел в связи с установлением личности",5
"Вологодская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-25.61576355
"Вологодская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",19.31818182
"Калининградская область","3_11","Всего разыскивалось лиц",513
"Калининградская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",233
"Калининградская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",276
"Калининградская область","3_11","Установлено лиц из числа находившихся в розыске",124
"Калининградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",104
"Калининградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",17
"Калининградская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",90
"Калининградская область","3_11","Всего прекращено дел в связи с установлением личности",3
"Калининградская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-36.31840796
"Калининградская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-20.12578616
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего разыскивалось лиц",5519
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",3082
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",2392
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Установлено лиц из числа находившихся в розыске",1351
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",980
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",332
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",2390
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего прекращено дел в связи с установлением личности",408
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-28.06032971
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-29.21001927
"  Ленинградская область","3_11","Всего разыскивалось лиц",1800
"  Ленинградская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",715
"  Ленинградская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1075
"  Ленинградская область","3_11","Установлено лиц из числа находившихся в розыске",360
"  Ленинградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",248
"  Ленинградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",103
"  Ленинградская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",961
"  Ленинградская область","3_11","Всего прекращено дел в связи с установлением личности",123
"  Ленинградская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-28.41091493
"  Ленинградская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-21.50259067
"  г. Санкт-Петербург","3_11","Всего разыскивалось лиц",3719
"  г. Санкт-Петербург","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",2367
"  г. Санкт-Петербург","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1317
"  г. Санкт-Петербург","3_11","Установлено лиц из числа находившихся в розыске",991
"  г. Санкт-Петербург","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",732
"  г. Санкт-Петербург","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",229
"  г. Санкт-Петербург","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",1429
"  г. Санкт-Петербург","3_11","Всего прекращено дел в связи с установлением личности",285
"  г. Санкт-Петербург","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-27.96229803
"  г. Санкт-Петербург","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-35.42101601
"Мурманская область","3_11","Всего разыскивалось лиц",613
"Мурманская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",336
"Мурманская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",273
"Мурманская область","3_11","Установлено лиц из числа находившихся в розыске",134
"Мурманская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",119
"Мурманская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",11
"Мурманская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",38
"Мурманская область","3_11","Всего прекращено дел в связи с установлением личности",6
"Мурманская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-43.53932584
"Мурманская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",2.788844622
"Новгородская  область","3_11","Всего разыскивалось лиц",825
"Новгородская  область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",343
"Новгородская  область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",467
"Новгородская  область","3_11","Установлено лиц из числа находившихся в розыске",267
"Новгородская  область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",145
"Новгородская  область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",107
"Новгородская  область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",82
"Новгородская  область","3_11","Всего прекращено дел в связи с установлением личности",7
"Новгородская  область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-18.18181818
"Новгородская  область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-15.42168675
"Псковская область","3_11","Всего разыскивалось лиц",566
"Псковская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",240
"Псковская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",310
"Псковская область","3_11","Установлено лиц из числа находившихся в розыске",190
"Псковская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",108
"Псковская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",71
"Псковская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",61
"Псковская область","3_11","Всего прекращено дел в связи с установлением личности",17
"Псковская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-39.62264151
"Псковская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-12.7340824
"Северо-Кавказский фед.округ","3_11","Всего разыскивалось лиц",10559
"Северо-Кавказский фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",6936
"Северо-Кавказский фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",3621
"Северо-Кавказский фед.округ","3_11","Установлено лиц из числа находившихся в розыске",2071
"Северо-Кавказский фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1480
"Северо-Кавказский фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",591
"Северо-Кавказский фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",402
"Северо-Кавказский фед.округ","3_11","Всего прекращено дел в связи с установлением личности",28
"Северо-Кавказский фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",10.90342679
"Северо-Кавказский фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",10.88560886
"Ставропольский край","3_11","Всего разыскивалось лиц",3111
"Ставропольский край","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",2082
"Ставропольский край","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1029
"Ставропольский край","3_11","Установлено лиц из числа находившихся в розыске",1190
"Ставропольский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",725
"Ставропольский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",465
"Ставропольский край","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",183
"Ставропольский край","3_11","Всего прекращено дел в связи с установлением личности",16
"Ставропольский край","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-37.69411765
"Ставропольский край","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-9.868421053
"Республика Ингушетия","3_11","Всего разыскивалось лиц",317
"Республика Ингушетия","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",278
"Республика Ингушетия","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",39
"Республика Ингушетия","3_11","Установлено лиц из числа находившихся в розыске",43
"Республика Ингушетия","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",37
"Республика Ингушетия","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",6
"Республика Ингушетия","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",10
"Республика Ингушетия","3_11","Всего прекращено дел в связи с установлением личности",1
"Республика Ингушетия","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-31.10465116
"Республика Ингушетия","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",28
"Республика Дагестан","3_11","Всего разыскивалось лиц",2535
"Республика Дагестан","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",2262
"Республика Дагестан","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",271
"Республика Дагестан","3_11","Установлено лиц из числа находившихся в розыске",364
"Республика Дагестан","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",347
"Республика Дагестан","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",17
"Республика Дагестан","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",41
"Республика Дагестан","3_11","Всего прекращено дел в связи с установлением личности",3
"Республика Дагестан","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",156.1210454
"Республика Дагестан","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",93.07692308
"Кабардино-Балкарская Респ.","3_11","Всего разыскивалось лиц",540
"Кабардино-Балкарская Респ.","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",308
"Кабардино-Балкарская Респ.","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",232
"Кабардино-Балкарская Респ.","3_11","Установлено лиц из числа находившихся в розыске",165
"Кабардино-Балкарская Респ.","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",99
"Кабардино-Балкарская Респ.","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",66
"Кабардино-Балкарская Респ.","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",29
"Кабардино-Балкарская Респ.","3_11","Всего прекращено дел в связи с установлением личности",2
"Кабардино-Балкарская Респ.","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",0.487804878
"Кабардино-Балкарская Респ.","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-8.379888268
"Респ. Сев.Осетия - Алания","3_11","Всего разыскивалось лиц",574
"Респ. Сев.Осетия - Алания","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",323
"Респ. Сев.Осетия - Алания","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",251
"Респ. Сев.Осетия - Алания","3_11","Установлено лиц из числа находившихся в розыске",123
"Респ. Сев.Осетия - Алания","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",107
"Респ. Сев.Осетия - Алания","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",16
"Респ. Сев.Осетия - Алания","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",43
"Респ. Сев.Осетия - Алания","3_11","Всего прекращено дел в связи с установлением личности",2
"Респ. Сев.Осетия - Алания","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-40.81632653
"Респ. Сев.Осетия - Алания","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-3.734439834
"Карачаево-Черкесская Респ.","3_11","Всего разыскивалось лиц",404
"Карачаево-Черкесская Респ.","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",263
"Карачаево-Черкесская Респ.","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",141
"Карачаево-Черкесская Респ.","3_11","Установлено лиц из числа находившихся в розыске",101
"Карачаево-Черкесская Респ.","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",87
"Карачаево-Черкесская Респ.","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",14
"Карачаево-Черкесская Респ.","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",83
"Карачаево-Черкесская Респ.","3_11","Всего прекращено дел в связи с установлением личности",3
"Карачаево-Черкесская Респ.","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-31.47410359
"Карачаево-Черкесская Респ.","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",10.43478261
"Чеченская Республика","3_11","Всего разыскивалось лиц",3078
"Чеченская Республика","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1420
"Чеченская Республика","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1658
"Чеченская Республика","3_11","Установлено лиц из числа находившихся в розыске",85
"Чеченская Республика","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",78
"Чеченская Республика","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",7
"Чеченская Республика","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",13
"Чеченская Республика","3_11","Всего прекращено дел в связи с установлением личности",1
"Чеченская Республика","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",62.92682927
"Чеченская Республика","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",16.92634561
"Южный фед.округ (с Крымом)","3_11","Всего разыскивалось лиц",14439
"Южный фед.округ (с Крымом)","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",10213
"Южный фед.округ (с Крымом)","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",4144
"Южный фед.округ (с Крымом)","3_11","Установлено лиц из числа находившихся в розыске",5472
"Южный фед.округ (с Крымом)","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",4918
"Южный фед.округ (с Крымом)","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",531
"Южный фед.округ (с Крымом)","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",1284
"Южный фед.округ (с Крымом)","3_11","Всего прекращено дел в связи с установлением личности",144
"Южный фед.округ (с Крымом)","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-24.22165947
"Южный фед.округ (с Крымом)","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-15.16666667
"Краснодарский край","3_11","Всего разыскивалось лиц",4228
"Краснодарский край","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",3063
"Краснодарский край","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1158
"Краснодарский край","3_11","Установлено лиц из числа находившихся в розыске",1398
"Краснодарский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1217
"Краснодарский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",180
"Краснодарский край","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",350
"Краснодарский край","3_11","Всего прекращено дел в связи с установлением личности",35
"Краснодарский край","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-6.884242733
"Краснодарский край","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-9.401709402
"Астраханская область","3_11","Всего разыскивалось лиц",1081
"Астраханская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",690
"Астраханская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",387
"Астраханская область","3_11","Установлено лиц из числа находившихся в розыске",293
"Астраханская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",255
"Астраханская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",34
"Астраханская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",104
"Астраханская область","3_11","Всего прекращено дел в связи с установлением личности",13
"Астраханская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-51.78571429
"Астраханская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-41.3080895
"Волгоградская область","3_11","Всего разыскивалось лиц",1900
"Волгоградская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1185
"Волгоградская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",714
"Волгоградская область","3_11","Установлено лиц из числа находившихся в розыске",523
"Волгоградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",475
"Волгоградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",47
"Волгоградская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",254
"Волгоградская область","3_11","Всего прекращено дел в связи с установлением личности",24
"Волгоградская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-56.72478207
"Волгоградская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-5.507246377
"Ростовская область","3_11","Всего разыскивалось лиц",3066
"Ростовская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",2135
"Ростовская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",925
"Ростовская область","3_11","Установлено лиц из числа находившихся в розыске",1161
"Ростовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",953
"Ростовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",203
"Ростовская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",278
"Ростовская область","3_11","Всего прекращено дел в связи с установлением личности",38
"Ростовская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-38.75196644
"Ростовская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-33.99621212
"Республика Адыгея","3_11","Всего разыскивалось лиц",270
"Республика Адыгея","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",171
"Республика Адыгея","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",98
"Республика Адыгея","3_11","Установлено лиц из числа находившихся в розыске",90
"Республика Адыгея","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",82
"Республика Адыгея","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",8
"Республика Адыгея","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",57
"Республика Адыгея","3_11","Всего прекращено дел в связи с установлением личности",2
"Республика Адыгея","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-55.15463918
"Республика Адыгея","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-25.64102564
"Республика Калмыкия","3_11","Всего разыскивалось лиц",270
"Республика Калмыкия","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",148
"Республика Калмыкия","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",122
"Республика Калмыкия","3_11","Установлено лиц из числа находившихся в розыске",74
"Республика Калмыкия","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",61
"Республика Калмыкия","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",13
"Республика Калмыкия","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",63
"Республика Калмыкия","3_11","Всего прекращено дел в связи с установлением личности",10
"Республика Калмыкия","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-42.28187919
"Республика Калмыкия","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",5.825242718
"Республика Крым","3_11","Всего разыскивалось лиц",2981
"Республика Крым","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",2316
