"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - декабрь 2016 г.)"
"  Ненецкий АО","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",31
"  Ненецкий АО","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",20
"  Ненецкий АО","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",3
"  Ненецкий АО","3_11","Всего прекращено дел в связи с установлением личности",0
"  Ненецкий АО","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-18.18181818
"  Ненецкий АО","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-19.23076923
"Вологодская область","3_11","Всего разыскивалось лиц",3300
"Вологодская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",748
"Вологодская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1831
"Вологодская область","3_11","Установлено лиц из числа находившихся в розыске",2642
"Вологодская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",552
"Вологодская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1371
"Вологодская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",46
"Вологодская область","3_11","Всего прекращено дел в связи с установлением личности",10
"Вологодская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-22.22222222
"Вологодская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",18.45730028
"Калининградская область","3_11","Всего разыскивалось лиц",664
"Калининградская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",354
"Калининградская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",296
"Калининградская область","3_11","Установлено лиц из числа находившихся в розыске",248
"Калининградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",214
"Калининградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",23
"Калининградская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",98
"Калининградская область","3_11","Всего прекращено дел в связи с установлением личности",13
"Калининградская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-41.98113208
"Калининградская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-17.25239617
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего разыскивалось лиц",8039
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",4705
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",3217
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Установлено лиц из числа находившихся в розыске",2871
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",2094
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",669
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",3687
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего прекращено дел в связи с установлением личности",979
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-24.27184466
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-24.16698583
"  Ленинградская область","3_11","Всего разыскивалось лиц",2542
"  Ленинградская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1137
"  Ленинградская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1378
"  Ленинградская область","3_11","Установлено лиц из числа находившихся в розыске",834
"  Ленинградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",601
"  Ленинградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",208
"  Ленинградская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",1410
"  Ленинградская область","3_11","Всего прекращено дел в связи с установлением личности",319
"  Ленинградская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-25.85139319
"  Ленинградская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-18.56287425
"  г. Санкт-Петербург","3_11","Всего разыскивалось лиц",5497
"  г. Санкт-Петербург","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",3568
"  г. Санкт-Петербург","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1839
"  г. Санкт-Петербург","3_11","Установлено лиц из числа находившихся в розыске",2037
"  г. Санкт-Петербург","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1493
"  г. Санкт-Петербург","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",461
"  г. Санкт-Петербург","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",2277
"  г. Санкт-Петербург","3_11","Всего прекращено дел в связи с установлением личности",660
"  г. Санкт-Петербург","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-23.81590706
"  г. Санкт-Петербург","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-28.71012483
"Мурманская область","3_11","Всего разыскивалось лиц",959
"Мурманская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",637
"Мурманская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",308
"Мурманская область","3_11","Установлено лиц из числа находившихся в розыске",387
"Мурманская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",349
"Мурманская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",25
"Мурманская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",42
"Мурманская область","3_11","Всего прекращено дел в связи с установлением личности",7
"Мурманская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-39.52879581
"Мурманская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",1.162790698
"Новгородская  область","3_11","Всего разыскивалось лиц",1271
"Новгородская  область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",600
"Новгородская  область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",624
"Новгородская  область","3_11","Установлено лиц из числа находившихся в розыске",677
"Новгородская  область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",393
"Новгородская  область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",237
"Новгородская  область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",106
"Новгородская  область","3_11","Всего прекращено дел в связи с установлением личности",13
"Новгородская  область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-20.57613169
"Новгородская  область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-14.76190476
"Псковская область","3_11","Всего разыскивалось лиц",974
"Псковская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",431
"Псковская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",477
"Псковская область","3_11","Установлено лиц из числа находившихся в розыске",565
"Псковская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",277
"Псковская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",226
"Псковская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",126
"Псковская область","3_11","Всего прекращено дел в связи с установлением личности",31
"Псковская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-37.26415094
"Псковская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-16.84587814
"Северо-Кавказский фед.округ","3_11","Всего разыскивалось лиц",13926
"Северо-Кавказский фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",9195
"Северо-Кавказский фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",4723
"Северо-Кавказский фед.округ","3_11","Установлено лиц из числа находившихся в розыске",5286
"Северо-Кавказский фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",3593
"Северо-Кавказский фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1686
"Северо-Кавказский фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",530
"Северо-Кавказский фед.округ","3_11","Всего прекращено дел в связи с установлением личности",54
"Северо-Кавказский фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",6.425464611
"Северо-Кавказский фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",4.937833037
"Ставропольский край","3_11","Всего разыскивалось лиц",5123
"Ставропольский край","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",3122
"Ставропольский край","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1998
"Ставропольский край","3_11","Установлено лиц из числа находившихся в розыске",3045
"Ставропольский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1622
"Ставропольский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1420
"Ставропольский край","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",225
"Ставропольский край","3_11","Всего прекращено дел в связи с установлением личности",28
"Ставропольский край","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-38.87670031
"Ставропольский край","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-10.32258065
"Республика Ингушетия","3_11","Всего разыскивалось лиц",370
"Республика Ингушетия","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",325
"Республика Ингушетия","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",45
"Республика Ингушетия","3_11","Установлено лиц из числа находившихся в розыске",79
"Республика Ингушетия","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",68
"Республика Ингушетия","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",11
"Республика Ингушетия","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",11
"Республика Ингушетия","3_11","Всего прекращено дел в связи с установлением личности",2
"Республика Ингушетия","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-20.67901235
"Республика Ингушетия","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",43.47826087
"Республика Дагестан","3_11","Всего разыскивалось лиц",3120
"Республика Дагестан","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",2877
"Республика Дагестан","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",242
"Республика Дагестан","3_11","Установлено лиц из числа находившихся в розыске",1005
"Республика Дагестан","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",971
"Республика Дагестан","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",34
"Республика Дагестан","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",58
"Республика Дагестан","3_11","Всего прекращено дел в связи с установлением личности",15
"Республика Дагестан","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",143.4036939
"Республика Дагестан","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",46.61654135
"Кабардино-Балкарская Респ.","3_11","Всего разыскивалось лиц",771
"Кабардино-Балкарская Респ.","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",454
"Кабардино-Балкарская Респ.","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",316
"Кабардино-Балкарская Респ.","3_11","Установлено лиц из числа находившихся в розыске",391
"Кабардино-Балкарская Респ.","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",242
"Кабардино-Балкарская Респ.","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",148
"Кабардино-Балкарская Респ.","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",85
"Кабардино-Балкарская Респ.","3_11","Всего прекращено дел в связи с установлением личности",3
"Кабардино-Балкарская Респ.","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-12.5
"Кабардино-Балкарская Респ.","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-9.340659341
"Респ. Сев.Осетия - Алания","3_11","Всего разыскивалось лиц",784
"Респ. Сев.Осетия - Алания","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",499
"Респ. Сев.Осетия - Алания","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",283
"Респ. Сев.Осетия - Алания","3_11","Установлено лиц из числа находившихся в розыске",301
"Респ. Сев.Осетия - Алания","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",267
"Респ. Сев.Осетия - Алания","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",32
"Респ. Сев.Осетия - Алания","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",45
"Респ. Сев.Осетия - Алания","3_11","Всего прекращено дел в связи с установлением личности",0
"Респ. Сев.Осетия - Алания","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-33.13069909
"Респ. Сев.Осетия - Алания","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-3.347280335
"Карачаево-Черкесская Респ.","3_11","Всего разыскивалось лиц",549
"Карачаево-Черкесская Респ.","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",393
"Карачаево-Черкесская Респ.","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",156
"Карачаево-Черкесская Респ.","3_11","Установлено лиц из числа находившихся в розыске",233
"Карачаево-Черкесская Респ.","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",208
"Карачаево-Черкесская Респ.","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",25
"Карачаево-Черкесская Респ.","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",87
"Карачаево-Черкесская Респ.","3_11","Всего прекращено дел в связи с установлением личности",5
"Карачаево-Черкесская Респ.","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-30.03802281
"Карачаево-Черкесская Респ.","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",5.64516129
"Чеченская Республика","3_11","Всего разыскивалось лиц",3209
"Чеченская Республика","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1525
"Чеченская Республика","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1683
"Чеченская Республика","3_11","Установлено лиц из числа находившихся в розыске",232
"Чеченская Республика","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",215
"Чеченская Республика","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",16
"Чеченская Республика","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",19
"Чеченская Республика","3_11","Всего прекращено дел в связи с установлением личности",1
"Чеченская Республика","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",46.19750284
"Чеченская Республика","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",9.973226238
"Южный фед.округ (с Крымом)","3_11","Всего разыскивалось лиц",19860
"Южный фед.округ (с Крымом)","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",14518
"Южный фед.округ (с Крымом)","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",5264
"Южный фед.округ (с Крымом)","3_11","Установлено лиц из числа находившихся в розыске",10094
"Южный фед.округ (с Крымом)","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",8626
"Южный фед.округ (с Крымом)","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1430
"Южный фед.округ (с Крымом)","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",1686
"Южный фед.округ (с Крымом)","3_11","Всего прекращено дел в связи с установлением личности",332
"Южный фед.округ (с Крымом)","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-20.37410072
"Южный фед.округ (с Крымом)","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-10.25219298
"Краснодарский край","3_11","Всего разыскивалось лиц",5934
"Краснодарский край","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",4520
"Краснодарский край","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1405
"Краснодарский край","3_11","Установлено лиц из числа находившихся в розыске",2886
"Краснодарский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",2507
"Краснодарский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",376
"Краснодарский край","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",415
"Краснодарский край","3_11","Всего прекращено дел в связи с установлением личности",53
"Краснодарский край","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-18.96551724
"Краснодарский край","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-10.0456621
"Астраханская область","3_11","Всего разыскивалось лиц",2260
"Астраханская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1501
"Астраханская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",751
"Астраханская область","3_11","Установлено лиц из числа находившихся в розыске",1339
"Астраханская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",998
"Астраханская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",333
"Астраханская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",168
"Астраханская область","3_11","Всего прекращено дел в связи с установлением личности",45
"Астраханская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-45.61797753
"Астраханская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-39.18918919
"Волгоградская область","3_11","Всего разыскивалось лиц",2940
"Волгоградская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1962
"Волгоградская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",975
"Волгоградская область","3_11","Установлено лиц из числа находившихся в розыске",1262
"Волгоградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1116
"Волгоградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",143
"Волгоградская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",349
"Волгоградская область","3_11","Всего прекращено дел в связи с установлением личности",68
"Волгоградская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-51.54639175
"Волгоградская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",9.039548023
"Ростовская область","3_11","Всего разыскивалось лиц",4743
"Ростовская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",3535
"Ростовская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1203
"Ростовская область","3_11","Установлено лиц из числа находившихся в розыске",2648
"Ростовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",2222
"Ростовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",422
"Ростовская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",378
"Ростовская область","3_11","Всего прекращено дел в связи с установлением личности",97
"Ростовская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-25.93240093
"Ростовская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-29.75845411
"Республика Адыгея","3_11","Всего разыскивалось лиц",369
"Республика Адыгея","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",255
"Республика Адыгея","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",111
"Республика Адыгея","3_11","Установлено лиц из числа находившихся в розыске",168
"Республика Адыгея","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",157
"Республика Адыгея","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",8
"Республика Адыгея","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",53
"Республика Адыгея","3_11","Всего прекращено дел в связи с установлением личности",0
"Республика Адыгея","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-51.4619883
"Республика Адыгея","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-13.39285714
"Республика Калмыкия","3_11","Всего разыскивалось лиц",369
"Республика Калмыкия","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",248
"Республика Калмыкия","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",121
"Республика Калмыкия","3_11","Установлено лиц из числа находившихся в розыске",153
"Республика Калмыкия","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",140
"Республика Калмыкия","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",13
"Республика Калмыкия","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",72
"Республика Калмыкия","3_11","Всего прекращено дел в связи с установлением личности",9
"Республика Калмыкия","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-32.19178082
"Республика Калмыкия","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",1.886792453
"Республика Крым","3_11","Всего разыскивалось лиц",2704
"Республика Крым","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",2088
